2023 Lower tier local authorities Code,2023 Lower tier local authorities,Age (91 categories) Code,Age (91 categories),Sex (2 categories) Code,Sex (2 categories),Observation
E07000077,Uttlesford,66,Aged 66 years,2,Male,459
E07000077,Uttlesford,67,Aged 67 years,1,Female,494
E07000077,Uttlesford,67,Aged 67 years,2,Male,488
E07000077,Uttlesford,68,Aged 68 years,1,Female,480
E07000077,Uttlesford,68,Aged 68 years,2,Male,479
E07000077,Uttlesford,69,Aged 69 years,1,Female,480
E07000077,Uttlesford,69,Aged 69 years,2,Male,444
E07000077,Uttlesford,70,Aged 70 years,1,Female,491
E07000077,Uttlesford,70,Aged 70 years,2,Male,433
E07000077,Uttlesford,71,Aged 71 years,1,Female,464
E07000077,Uttlesford,71,Aged 71 years,2,Male,474
E07000077,Uttlesford,72,Aged 72 years,1,Female,528
E07000077,Uttlesford,72,Aged 72 years,2,Male,485
E07000077,Uttlesford,73,Aged 73 years,1,Female,544
E07000077,Uttlesford,73,Aged 73 years,2,Male,498
E07000077,Uttlesford,74,Aged 74 years,1,Female,545
E07000077,Uttlesford,74,Aged 74 years,2,Male,520
E07000077,Uttlesford,75,Aged 75 years,1,Female,410
E07000077,Uttlesford,75,Aged 75 years,2,Male,403
E07000077,Uttlesford,76,Aged 76 years,1,Female,418
E07000077,Uttlesford,76,Aged 76 years,2,Male,424
E07000077,Uttlesford,77,Aged 77 years,1,Female,410
E07000077,Uttlesford,77,Aged 77 years,2,Male,375
E07000077,Uttlesford,78,Aged 78 years,1,Female,351
E07000077,Uttlesford,78,Aged 78 years,2,Male,297
E07000077,Uttlesford,79,Aged 79 years,1,Female,307
E07000077,Uttlesford,79,Aged 79 years,2,Male,277
E07000077,Uttlesford,80,Aged 80 years,1,Female,280
E07000077,Uttlesford,80,Aged 80 years,2,Male,225
E07000077,Uttlesford,81,Aged 81 years,1,Female,307
E07000077,Uttlesford,81,Aged 81 years,2,Male,267
E07000077,Uttlesford,82,Aged 82 years,1,Female,276
E07000077,Uttlesford,82,Aged 82 years,2,Male,196
E07000077,Uttlesford,83,Aged 83 years,1,Female,233
E07000077,Uttlesford,83,Aged 83 years,2,Male,226
E07000077,Uttlesford,84,Aged 84 years,1,Female,208
E07000077,Uttlesford,84,Aged 84 years,2,Male,171
E07000077,Uttlesford,85,Aged 85 years,1,Female,227
E07000077,Uttlesford,85,Aged 85 years,2,Male,145
E07000077,Uttlesford,86,Aged 86 years,1,Female,200
E07000077,Uttlesford,86,Aged 86 years,2,Male,148
E07000077,Uttlesford,87,Aged 87 years,1,Female,181
E07000077,Uttlesford,87,Aged 87 years,2,Male,137
E07000077,Uttlesford,88,Aged 88 years,1,Female,170
E07000077,Uttlesford,88,Aged 88 years,2,Male,104
E07000077,Uttlesford,89,Aged 89 years,1,Female,157
E07000077,Uttlesford,89,Aged 89 years,2,Male,101
E07000077,Uttlesford,90,Aged 90 years and over,1,Female,688
E07000077,Uttlesford,90,Aged 90 years and over,2,Male,303
