2011 super output area - lower layer,mnemonic,Date,Gender,All Ages,Age 0,Age 1,Age 2,Age 3,Age 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Age 85,Age 86,Age 87,Age 88,Age 89,Aged 90+
Welwyn Hatfield 002B,E01023968,2018,Female,704,4,3,3,5,7,35,33,53,19,29,12,26,35,56,46,68,50,50,57,45,41,10,2,5,3,2,5
Welwyn Hatfield 002C,E01023969,2018,Female,703,5,3,5,5,9,33,27,31,26,22,35,37,43,46,53,50,53,39,55,40,40,5,2,5,8,4,22
Welwyn Hatfield 002D,E01023970,2018,Female,958,26,17,19,13,13,59,60,41,36,51,83,82,72,61,61,57,36,36,36,26,36,4,2,4,4,6,17
Welwyn Hatfield 002E,E01033310,2018,Female,901,13,10,6,13,14,75,68,57,41,72,73,74,93,85,51,52,33,22,18,13,10,2,2,2,0,0,2
Welwyn Hatfield 002F,E01033313,2018,Female,780,7,10,11,8,7,46,68,54,36,40,57,58,55,53,61,61,38,34,27,16,12,1,0,0,1,1,18
Welwyn Hatfield 003A,E01023959,2018,Female,757,8,6,12,6,5,37,59,34,23,22,26,33,38,55,73,66,51,52,46,28,31,8,8,10,4,4,12
Welwyn Hatfield 003B,E01023960,2018,Female,883,9,7,12,12,12,60,56,48,41,36,44,76,62,78,67,58,35,29,44,27,32,6,8,4,7,5,8
Welwyn Hatfield 003C,E01023961,2018,Female,831,12,13,15,16,16,61,47,44,47,46,65,73,55,48,64,45,48,19,25,31,22,5,2,3,3,1,5
Welwyn Hatfield 003D,E01023962,2018,Female,754,7,10,8,5,8,30,52,70,35,24,16,37,68,56,73,65,38,33,44,38,21,3,2,2,2,3,4
Welwyn Hatfield 004A,E01023912,2018,Female,785,8,10,11,11,20,60,46,24,38,43,63,68,40,51,50,55,43,42,37,24,24,3,3,4,6,0,1
Welwyn Hatfield 004B,E01023913,2018,Female,696,13,15,13,6,15,42,37,33,29,63,39,39,53,39,41,40,38,40,37,24,22,5,2,5,1,2,3
Welwyn Hatfield 004C,E01023914,2018,Female,892,9,4,8,5,9,57,55,42,34,70,61,54,58,59,56,57,47,44,39,43,39,8,2,6,4,6,16
Welwyn Hatfield 004D,E01023915,2018,Female,864,6,14,12,16,8,79,45,56,35,73,71,70,55,75,56,53,37,20,35,13,19,3,1,1,1,3,7
Welwyn Hatfield 005A,E01023950,2018,Female,819,12,9,13,13,6,38,41,37,33,52,59,62,45,38,70,66,96,29,21,21,19,6,2,7,5,2,17
Welwyn Hatfield 005B,E01023951,2018,Female,826,7,17,11,18,12,43,44,39,34,70,65,55,44,49,57,58,54,46,41,28,16,3,1,2,3,7,2
Welwyn Hatfield 005C,E01023952,2018,Female,853,11,7,9,17,14,48,23,17,28,69,62,80,60,50,45,59,72,38,29,31,30,7,5,7,4,10,21
Welwyn Hatfield 005D,E01023953,2018,Female,734,7,5,11,7,10,28,42,25,29,52,74,57,48,46,49,65,44,33,22,15,29,2,2,1,2,3,26
Welwyn Hatfield 006A,E01023916,2018,Female,952,9,9,9,15,19,67,78,41,48,66,69,68,52,73,77,53,35,29,40,34,31,5,4,2,2,2,15
Welwyn Hatfield 006B,E01023917,2018,Female,927,9,10,14,9,15,53,36,41,35,33,39,76,69,46,73,68,53,51,64,42,55,7,5,4,1,1,18
Welwyn Hatfield 006C,E01023918,2018,Female,1069,10,9,6,17,11,40,36,25,48,61,63,54,55,38,51,51,65,50,85,78,86,18,14,18,11,11,58
Welwyn Hatfield 006D,E01023919,2018,Female,866,7,9,4,12,10,59,65,49,38,37,22,39,45,54,71,65,44,44,60,45,29,7,3,4,8,8,28
Welwyn Hatfield 007A,E01023954,2018,Female,1159,13,20,14,27,18,90,67,52,57,146,131,117,74,66,57,60,32,32,22,22,23,3,3,3,1,2,7
Welwyn Hatfield 007B,E01023955,2018,Female,728,6,7,12,9,12,63,48,43,21,55,65,51,66,60,47,36,27,28,26,16,17,0,0,0,1,1,11
Welwyn Hatfield 007C,E01023956,2018,Female,749,10,11,8,8,17,73,56,47,26,57,81,69,41,40,53,55,42,15,13,11,9,0,1,1,0,0,5
Welwyn Hatfield 007D,E01023957,2018,Female,811,16,11,15,20,19,71,53,61,52,76,63,72,61,56,60,38,25,14,16,8,1,0,1,0,0,0,2
Welwyn Hatfield 007E,E01023958,2018,Female,842,16,13,8,8,13,62,72,46,49,69,81,73,54,47,61,38,30,44,19,6,14,4,2,1,2,1,9
Welwyn Hatfield 008A,E01023943,2018,Female,849,12,12,10,5,10,54,58,51,42,64,67,56,68,49,74,60,44,32,24,20,13,1,2,1,2,2,16
Welwyn Hatfield 008B,E01023944,2018,Female,1133,17,16,16,13,17,92,54,49,42,95,117,102,78,81,68,70,44,47,39,26,25,5,3,5,3,2,7
Welwyn Hatfield 008C,E01023945,2018,Female,817,14,15,8,10,13,51,57,43,28,41,67,73,48,67,44,62,35,41,24,29,26,4,3,5,3,2,4
Welwyn Hatfield 008D,E01023946,2018,Female,948,15,15,11,13,11,61,44,60,41,71,87,86,66,75,68,54,28,29,41,20,25,2,5,9,4,3,4
Welwyn Hatfield 009A,E01023939,2018,Female,655,8,5,11,7,12,49,17,30,34,38,41,47,44,42,46,36,31,35,39,33,23,0,5,5,2,3,12
Welwyn Hatfield 009B,E01023940,2018,Female,995,17,8,17,13,15,83,68,74,53,55,72,86,61,56,74,49,36,38,36,27,37,3,4,3,2,3,5
Welwyn Hatfield 009C,E01023941,2018,Female,1471,22,30,19,22,26,121,84,89,60,147,172,162,126,71,77,57,39,46,40,20,19,1,3,2,5,5,6
Welwyn Hatfield 009D,E01023942,2018,Female,1022,18,9,14,19,24,88,92,84,46,64,73,78,75,71,69,42,46,31,15,28,13,1,1,5,3,2,11
Welwyn Hatfield 010A,E01023929,2018,Female,925,8,13,20,15,18,64,63,44,54,80,79,72,60,37,47,57,41,46,41,22,26,1,5,2,1,1,8
Welwyn Hatfield 010B,E01023930,2018,Female,857,16,19,11,9,7,82,39,43,46,76,80,85,55,45,47,41,42,36,29,18,9,3,1,2,5,4,7
Welwyn Hatfield 010D,E01023938,2018,Female,1380,4,7,6,8,5,58,49,246,415,81,36,48,51,62,59,43,54,40,39,24,15,3,3,5,1,4,14
Welwyn Hatfield 010E,E01033308,2018,Female,1759,7,7,10,7,5,24,25,302,801,191,106,58,45,30,30,19,14,3,15,14,12,3,3,2,2,5,19
Welwyn Hatfield 010F,E01033311,2018,Female,779,1,12,6,16,6,50,39,53,60,65,65,61,48,43,53,47,55,32,35,18,5,1,1,0,2,1,4
Welwyn Hatfield 010G,E01033314,2018,Female,1302,4,13,14,9,14,58,63,137,480,100,83,88,73,85,29,19,12,14,1,2,2,1,0,0,0,0,1
Welwyn Hatfield 011A,E01023924,2018,Female,864,12,8,7,14,4,46,31,53,112,75,72,71,51,53,52,33,36,40,32,17,16,1,2,2,6,2,16
Welwyn Hatfield 011B,E01023925,2018,Female,780,5,4,4,7,6,50,30,40,51,50,55,51,53,58,60,58,38,56,44,30,18,3,2,0,0,1,6
Welwyn Hatfield 011C,E01023926,2018,Female,915,8,16,5,10,17,36,34,31,35,75,86,71,47,58,64,50,62,43,58,40,40,4,3,2,5,4,11
Welwyn Hatfield 011D,E01023927,2018,Female,1064,14,8,13,13,8,97,62,41,71,101,98,94,52,62,66,52,28,33,27,23,32,9,4,6,6,7,37
Welwyn Hatfield 012A,E01023920,2018,Female,915,12,8,13,7,14,47,30,47,115,117,83,75,43,46,64,42,36,15,30,27,15,2,4,3,4,4,12
Welwyn Hatfield 012B,E01023921,2018,Female,1248,27,35,21,12,29,71,46,42,248,161,139,78,66,48,54,40,33,27,22,16,13,0,4,8,2,3,3
Welwyn Hatfield 012C,E01023922,2018,Female,1051,9,9,12,14,16,91,73,38,189,99,108,66,49,39,47,62,28,18,24,18,21,0,6,2,2,2,9
Welwyn Hatfield 012D,E01023923,2018,Female,1143,23,15,10,14,14,62,48,55,180,88,144,102,38,53,71,54,45,23,23,21,35,3,3,1,1,4,13
Welwyn Hatfield 013A,E01023932,2018,Female,972,12,15,12,15,16,59,48,61,192,92,82,80,53,51,40,49,29,16,15,14,13,0,0,1,1,0,6
Welwyn Hatfield 013B,E01023934,2018,Female,914,7,11,13,14,9,43,32,46,320,93,57,57,51,40,20,34,18,12,7,7,9,2,1,2,4,3,2
Welwyn Hatfield 013C,E01023935,2018,Female,1408,8,3,9,10,11,63,32,132,696,59,68,60,35,31,33,44,23,24,12,13,17,7,0,7,4,1,6
Welwyn Hatfield 013D,E01023936,2018,Female,1281,12,9,13,11,16,102,63,92,189,100,102,85,63,59,67,51,40,24,39,39,54,6,8,7,1,4,25
Welwyn Hatfield 013E,E01023937,2018,Female,924,6,8,5,8,6,27,30,58,428,57,51,21,22,29,34,29,21,20,14,20,15,3,2,4,0,1,5
Welwyn Hatfield 014A,E01023933,2018,Female,810,6,8,10,7,9,43,33,49,79,91,68,65,37,49,33,40,41,38,43,16,20,5,6,5,1,3,5
Welwyn Hatfield 014B,E01023963,2018,Female,1245,5,12,14,14,15,72,59,75,83,89,87,57,69,94,94,90,79,51,56,43,39,10,5,6,5,6,16
Welwyn Hatfield 014C,E01023964,2018,Female,920,6,12,8,8,7,43,39,57,144,101,28,33,48,42,42,62,43,47,52,40,33,5,5,2,4,2,7
Welwyn Hatfield 015A,E01023908,2018,Female,823,4,9,7,11,7,49,37,55,54,40,44,41,45,72,60,77,38,52,34,31,23,3,4,4,5,2,15
Welwyn Hatfield 015B,E01023909,2018,Female,776,1,4,3,6,2,31,85,167,29,32,21,28,40,48,43,48,44,47,35,19,22,4,4,2,4,3,4
Welwyn Hatfield 015C,E01023910,2018,Female,706,6,3,4,7,4,44,29,33,34,38,21,32,39,48,72,61,47,54,60,27,26,1,5,0,2,2,7
Welwyn Hatfield 015D,E01023911,2018,Female,900,8,9,11,5,11,41,51,53,52,63,49,33,55,49,68,64,46,50,50,56,39,5,7,2,4,3,16
Welwyn Hatfield 016A,E01023947,2018,Female,835,13,9,13,16,17,29,38,30,45,30,43,37,40,70,79,63,51,50,56,42,26,5,3,9,4,6,11
Welwyn Hatfield 016B,E01023948,2018,Female,881,7,8,13,9,19,31,47,53,31,29,44,35,49,54,62,63,69,73,63,51,33,7,3,6,5,4,13
Welwyn Hatfield 016C,E01023949,2018,Female,1054,7,6,5,3,7,62,49,68,53,49,38,30,66,73,91,87,73,64,74,64,49,8,1,3,2,2,20
Three Rivers 001A,E01023802,2018,Female,875,8,4,13,7,7,56,40,40,32,49,63,62,74,62,72,69,34,43,50,34,20,5,5,7,5,3,11
Three Rivers 001B,E01023803,2018,Female,765,6,3,2,8,7,46,43,51,23,25,21,44,52,54,69,63,46,48,41,30,37,4,7,5,2,3,25
Three Rivers 001C,E01023804,2018,Female,770,7,7,11,9,5,45,42,27,25,27,44,46,55,47,56,34,49,53,60,28,34,6,9,5,3,3,33
Three Rivers 001D,E01023807,2018,Female,765,2,8,4,5,8,37,50,46,55,28,30,49,34,63,88,65,46,51,32,29,15,3,5,2,2,3,5
Three Rivers 001E,E01023808,2018,Female,1261,15,13,19,19,19,66,53,57,50,121,86,111,85,85,83,105,48,64,61,49,27,2,4,1,3,0,15
Three Rivers 002A,E01023829,2018,Female,920,9,18,18,9,18,76,55,59,44,63,45,68,79,67,63,67,55,34,28,14,12,3,1,2,0,2,11
Three Rivers 002B,E01023830,2018,Female,745,6,9,11,5,6,35,22,26,39,53,52,52,50,35,48,62,38,53,43,33,27,1,3,4,4,5,23
Three Rivers 002C,E01023832,2018,Female,951,13,15,18,13,20,64,84,50,40,76,62,82,71,77,74,44,47,36,27,21,8,2,1,1,2,2,1
Three Rivers 002D,E01023833,2018,Female,1894,26,34,25,27,35,150,142,95,50,133,156,176,158,152,126,118,90,67,60,34,22,4,1,4,2,1,6
Three Rivers 002E,E01023834,2018,Female,826,4,5,10,6,10,45,71,57,23,48,37,63,58,67,80,53,48,36,49,26,12,2,5,0,2,0,9
Three Rivers 003A,E01023823,2018,Female,896,5,6,3,11,8,57,51,59,29,39,34,64,61,62,55,78,57,37,57,27,38,7,5,7,3,6,30
Three Rivers 003B,E01023824,2018,Female,1150,11,11,7,13,22,88,90,58,47,45,40,66,89,78,93,92,62,67,66,43,34,4,4,2,6,3,9
Three Rivers 003C,E01023831,2018,Female,1089,12,16,19,19,14,77,73,61,60,72,70,83,66,76,84,81,48,35,52,27,15,1,5,1,6,2,14
Three Rivers 003D,E01023854,2018,Female,956,4,7,8,5,7,54,39,40,34,42,30,51,56,60,101,91,71,57,76,28,45,7,10,7,4,5,17
Three Rivers 004A,E01023812,2018,Female,778,2,3,4,10,4,52,53,48,35,32,25,27,57,59,61,59,69,48,53,29,25,5,1,1,5,3,8
Three Rivers 004B,E01023813,2018,Female,832,3,3,2,5,6,48,54,65,52,29,25,33,42,77,79,70,62,33,39,32,19,5,6,5,10,4,24
Three Rivers 004C,E01023814,2018,Female,642,3,5,3,7,3,30,37,28,26,4,9,36,30,44,48,31,30,22,27,34,58,8,17,10,12,10,70
Three Rivers 004D,E01023851,2018,Female,1008,11,11,8,6,11,26,59,77,51,87,84,85,71,53,54,71,40,34,43,39,32,8,7,9,8,6,17
Three Rivers 005A,E01023815,2018,Female,836,10,7,12,7,5,80,52,40,46,31,26,45,67,69,69,41,48,55,45,28,34,2,5,3,5,1,3
Three Rivers 005B,E01023816,2018,Female,682,4,9,2,5,5,42,64,44,20,25,13,33,51,73,47,49,40,36,39,34,23,7,3,2,3,1,8
Three Rivers 005C,E01023817,2018,Female,759,11,9,6,7,6,46,53,63,21,40,34,56,39,61,70,41,38,29,27,42,26,7,3,5,5,4,10
Three Rivers 005D,E01023818,2018,Female,745,3,5,6,6,8,49,69,54,31,15,17,34,47,63,69,56,52,33,42,33,21,4,3,3,3,2,17
Three Rivers 006A,E01023819,2018,Female,899,10,13,12,12,12,65,70,57,33,30,45,88,85,71,75,41,41,32,33,28,17,7,6,7,0,1,8
Three Rivers 006B,E01023820,2018,Female,728,12,4,6,4,8,51,47,48,24,29,32,48,49,53,60,50,47,32,47,32,16,7,3,6,2,2,9
Three Rivers 006C,E01023821,2018,Female,679,5,7,5,7,7,49,53,26,24,28,25,49,63,52,42,50,41,40,21,30,29,5,2,7,4,2,6
Three Rivers 006D,E01023822,2018,Female,695,6,10,4,6,9,56,33,37,25,24,40,50,53,55,58,52,44,31,34,30,20,5,2,3,4,2,2
Three Rivers 006E,E01023825,2018,Female,1173,14,15,10,21,22,71,80,65,33,51,81,94,88,106,100,88,59,49,53,39,20,4,2,2,0,1,5
Three Rivers 006F,E01023826,2018,Female,817,5,6,13,11,12,54,59,46,32,29,29,57,66,65,66,70,42,31,43,17,32,3,5,4,3,6,11
Three Rivers 007A,E01023847,2018,Female,977,7,16,17,11,10,84,54,51,34,58,78,100,83,79,78,50,37,32,30,29,26,2,4,3,0,1,3
Three Rivers 007B,E01023848,2018,Female,915,10,14,12,7,13,71,91,47,28,53,59,83,73,73,63,40,41,39,33,18,24,2,1,2,1,2,15
Three Rivers 007C,E01023850,2018,Female,763,11,6,12,14,12,61,18,14,25,61,85,70,42,60,50,28,28,21,30,26,35,4,5,3,4,5,33
Three Rivers 007D,E01023852,2018,Female,828,8,11,5,15,15,44,50,36,34,42,40,43,53,51,72,62,38,40,45,31,40,9,0,6,3,6,29
Three Rivers 007E,E01023853,2018,Female,1096,4,4,9,11,10,75,79,75,53,25,24,59,82,96,106,79,44,73,67,51,33,11,4,3,9,1,9
Three Rivers 008A,E01023827,2018,Female,1226,18,15,17,22,24,100,75,67,76,99,112,102,92,93,77,61,61,30,30,17,11,2,0,6,6,6,7
Three Rivers 008B,E01023828,2018,Female,826,15,6,14,13,17,67,56,42,44,50,73,81,52,50,52,32,50,33,23,27,9,4,3,1,4,2,6
Three Rivers 008C,E01023845,2018,Female,891,7,10,12,7,12,57,70,31,32,52,50,60,70,64,80,76,68,44,46,28,10,1,1,0,0,1,2
Three Rivers 008D,E01023846,2018,Female,802,5,2,9,4,5,54,56,32,43,32,29,40,56,56,76,49,52,61,52,37,19,2,6,3,4,7,11
Three Rivers 009A,E01023835,2018,Female,729,4,7,13,4,9,34,50,38,30,26,40,60,42,54,59,48,43,40,49,27,36,2,1,1,1,1,10
Three Rivers 009B,E01023836,2018,Female,696,17,14,17,9,12,35,30,30,37,63,54,52,62,46,46,29,38,33,29,16,13,2,0,2,3,3,4
Three Rivers 009C,E01023837,2018,Female,844,8,14,10,16,7,82,52,32,28,52,57,99,50,68,50,45,59,28,35,18,22,2,1,2,1,0,6
Three Rivers 009D,E01023838,2018,Female,643,8,10,7,10,9,38,42,38,23,44,50,56,42,43,41,55,24,23,30,16,11,5,7,5,0,2,4
Three Rivers 010A,E01023805,2018,Female,911,8,10,12,14,15,73,71,67,48,59,60,79,68,83,61,48,20,35,22,25,15,4,1,4,0,2,7
Three Rivers 010B,E01023809,2018,Female,938,7,9,8,8,10,57,37,40,31,65,48,79,47,46,61,56,43,50,71,65,55,6,11,11,4,4,9
Three Rivers 010C,E01023810,2018,Female,939,10,5,12,12,5,35,34,38,42,59,53,49,59,45,72,69,59,71,82,50,43,6,5,4,4,2,14
Three Rivers 010D,E01023811,2018,Female,773,4,10,5,6,6,28,32,35,32,44,34,47,40,55,55,42,52,40,71,48,39,5,5,7,7,1,23
Three Rivers 011A,E01023839,2018,Female,1160,9,5,7,11,10,58,90,61,54,49,36,63,92,82,78,95,83,75,66,48,50,8,3,7,3,3,14
Three Rivers 011B,E01023840,2018,Female,987,20,14,13,11,14,53,40,26,37,39,60,109,90,63,67,35,50,48,66,34,47,6,12,5,4,3,21
Three Rivers 011C,E01023841,2018,Female,821,6,9,9,8,6,27,46,34,39,59,38,51,56,50,61,69,74,46,56,31,26,3,2,3,6,5,1
Three Rivers 011D,E01023849,2018,Female,698,6,9,10,10,7,35,32,31,22,30,23,39,33,63,52,64,47,42,54,37,28,1,5,1,2,1,14
Three Rivers 012A,E01023806,2018,Female,1217,10,20,20,13,20,96,93,43,62,89,78,120,89,90,72,82,62,46,34,22,26,6,7,0,5,0,12
Three Rivers 012B,E01023842,2018,Female,947,8,13,7,17,11,84,59,53,63,78,62,83,73,47,66,52,46,27,20,24,25,3,1,2,2,0,21
Three Rivers 012C,E01023843,2018,Female,1100,14,14,21,21,13,74,68,43,44,83,89,105,89,72,80,63,63,42,21,33,16,5,4,0,3,1,19
Three Rivers 012D,E01023844,2018,Female,818,14,22,18,15,8,62,35,45,52,89,77,67,63,54,40,31,43,29,20,8,14,1,3,0,0,2,6
North Hertfordshire 001A,E01023660,2018,Female,1204,17,15,14,10,17,48,47,34,60,93,99,97,85,84,66,68,73,57,57,49,40,8,10,5,7,10,34
North Hertfordshire 001B,E01023661,2018,Female,694,10,7,11,8,9,45,39,40,29,29,45,65,39,51,54,36,34,36,39,34,14,4,2,3,0,1,10
North Hertfordshire 001C,E01023662,2018,Female,1017,16,20,29,14,16,75,59,51,37,66,99,100,72,77,73,69,42,30,29,20,14,0,3,0,1,1,4
North Hertfordshire 002A,E01023654,2018,Female,778,8,13,9,11,9,50,35,25,35,36,53,55,55,50,68,43,48,72,55,27,13,1,3,1,1,1,1
North Hertfordshire 002B,E01023655,2018,Female,995,10,15,18,12,8,86,41,35,37,45,68,51,68,66,69,62,62,66,57,44,29,6,12,4,4,4,16
North Hertfordshire 002C,E01023656,2018,Female,1124,15,12,8,10,11,72,47,28,65,91,141,114,75,58,57,53,51,43,59,25,44,4,3,4,3,5,26
North Hertfordshire 002D,E01023657,2018,Female,1231,10,17,14,12,11,64,72,55,31,57,67,73,96,87,88,56,68,88,92,67,64,6,4,6,1,3,22
North Hertfordshire 002E,E01023658,2018,Female,832,13,16,11,12,10,63,45,45,48,37,47,65,58,65,50,43,43,43,40,32,31,1,3,3,1,2,5
North Hertfordshire 002F,E01023659,2018,Female,686,9,12,11,9,11,33,27,26,31,26,44,59,36,46,58,66,42,39,50,27,18,1,0,2,0,1,2
North Hertfordshire 003A,E01023635,2018,Female,760,5,14,10,10,4,61,44,39,33,34,43,55,52,45,62,42,32,38,22,41,35,4,6,8,3,5,13
North Hertfordshire 003B,E01023636,2018,Female,951,12,11,10,17,18,54,51,34,45,37,63,85,74,50,71,63,50,40,34,44,38,15,6,3,5,5,16
North Hertfordshire 003C,E01023637,2018,Female,873,10,13,5,13,10,43,67,34,51,46,49,57,51,56,67,55,52,38,47,42,29,8,6,3,3,3,15
North Hertfordshire 003D,E01023638,2018,Female,888,13,13,14,13,17,66,53,51,26,67,58,57,59,55,64,66,54,40,27,26,26,4,1,0,2,2,14
North Hertfordshire 004A,E01023587,2018,Female,536,5,4,6,4,4,20,28,22,35,36,33,51,39,50,38,60,37,24,26,6,4,1,0,0,1,1,1
North Hertfordshire 004B,E01023588,2018,Female,676,5,6,8,3,3,32,39,32,34,27,39,45,55,56,54,71,32,36,30,27,19,4,3,5,0,5,6
North Hertfordshire 004C,E01023589,2018,Female,823,7,10,14,6,4,43,38,36,20,37,48,40,49,69,74,68,63,39,39,32,44,6,8,6,8,3,12
North Hertfordshire 004D,E01023590,2018,Female,936,7,12,10,7,11,53,62,52,34,44,54,66,72,94,73,52,45,46,47,30,22,8,5,6,4,3,17
North Hertfordshire 004E,E01023591,2018,Female,741,8,3,6,2,6,36,34,39,44,24,27,46,51,59,59,51,42,48,53,31,33,3,2,6,4,4,20
North Hertfordshire 004F,E01023592,2018,Female,839,5,8,20,13,9,61,64,63,33,36,65,73,64,63,57,38,32,26,20,23,35,3,5,6,2,2,13
North Hertfordshire 004G,E01023593,2018,Female,752,3,8,7,7,14,59,63,36,18,40,54,51,49,63,48,58,47,20,32,30,20,9,3,2,2,3,6
North Hertfordshire 005A,E01023585,2018,Female,595,5,5,3,5,4,36,53,32,14,13,17,16,37,42,57,48,54,40,54,27,11,2,5,3,1,5,6
North Hertfordshire 005B,E01023586,2018,Female,824,7,10,5,9,13,47,49,55,21,28,36,46,63,58,64,72,60,56,47,41,20,2,6,3,3,1,2
North Hertfordshire 005C,E01023597,2018,Female,643,1,2,2,1,4,45,40,31,25,14,24,30,40,55,44,47,63,54,30,36,21,5,1,11,7,1,9
North Hertfordshire 005D,E01023598,2018,Female,718,7,8,4,6,6,61,50,40,22,29,34,46,50,55,56,46,45,51,39,24,23,3,2,0,1,0,10
North Hertfordshire 005F,E01023600,2018,Female,728,12,4,7,7,9,40,36,23,20,31,46,57,44,66,48,43,42,46,42,28,27,2,6,6,4,7,25
North Hertfordshire 005G,E01023663,2018,Female,1097,4,13,7,10,7,46,73,53,49,36,57,62,53,93,126,100,69,75,58,44,27,3,4,0,1,2,25
North Hertfordshire 005H,E01033024,2018,Female,790,9,6,8,10,10,42,92,46,36,27,41,63,88,96,62,49,33,16,42,2,7,1,0,0,2,0,2
North Hertfordshire 005I,E01033025,2018,Female,712,11,12,14,18,19,59,51,29,24,55,74,86,61,62,45,33,16,16,11,7,6,0,0,1,0,0,2
North Hertfordshire 005J,E01033026,2018,Female,764,9,21,8,15,11,70,46,37,28,72,66,62,69,67,45,31,19,23,16,5,20,2,6,3,1,1,11
North Hertfordshire 005K,E01033027,2018,Female,886,10,17,19,11,12,94,52,46,39,79,84,126,97,53,51,38,13,12,8,16,7,0,0,0,0,1,1
North Hertfordshire 006A,E01023630,2018,Female,1139,20,14,15,12,14,84,91,63,62,79,77,104,71,74,79,46,30,39,31,47,38,7,6,6,7,4,19
North Hertfordshire 006B,E01023631,2018,Female,862,10,17,10,14,15,61,50,51,37,65,74,87,59,66,52,38,56,24,26,17,19,3,2,1,0,0,8
North Hertfordshire 006C,E01023632,2018,Female,921,8,19,16,16,8,70,39,39,51,58,92,95,70,49,59,47,46,45,22,21,17,3,6,3,2,2,18
North Hertfordshire 006D,E01023633,2018,Female,704,7,3,9,5,12,52,48,33,30,61,57,52,60,58,33,46,28,24,34,18,11,4,4,3,1,3,8
North Hertfordshire 006E,E01023634,2018,Female,615,4,5,8,5,9,28,16,25,18,27,49,38,37,38,41,39,29,57,60,29,32,4,0,5,1,6,5
North Hertfordshire 007A,E01023649,2018,Female,716,13,6,5,1,2,24,39,31,30,67,54,72,46,60,69,23,23,36,39,25,22,7,4,2,2,1,13
North Hertfordshire 007B,E01023650,2018,Female,794,12,10,18,16,4,66,50,43,33,45,60,68,52,71,58,61,43,29,17,18,6,2,3,0,4,2,3
North Hertfordshire 007C,E01023651,2018,Female,664,6,7,5,5,5,54,55,41,20,25,41,56,51,48,35,33,33,31,42,31,24,1,4,2,3,2,4
North Hertfordshire 007D,E01023652,2018,Female,797,11,9,10,7,9,60,40,43,42,46,54,55,48,72,54,42,31,45,38,30,21,4,7,4,3,3,9
North Hertfordshire 008A,E01023644,2018,Female,875,8,7,2,5,4,47,48,62,34,25,36,37,42,69,67,56,56,39,76,58,43,5,10,11,6,5,17
North Hertfordshire 008B,E01023645,2018,Female,820,3,10,12,5,6,62,41,37,37,38,37,43,72,54,65,44,56,52,56,29,31,6,7,5,3,1,8
North Hertfordshire 008C,E01023646,2018,Female,805,7,5,7,10,11,76,78,56,36,39,42,69,63,73,49,44,20,35,28,29,9,0,0,2,0,0,17
North Hertfordshire 008D,E01023647,2018,Female,729,6,4,4,4,6,26,48,29,24,31,21,32,45,59,68,56,60,46,61,29,33,8,6,1,2,6,14
North Hertfordshire 008E,E01023648,2018,Female,659,5,5,8,5,12,39,34,50,34,14,17,22,38,37,42,30,50,50,64,43,36,1,8,2,3,4,6
North Hertfordshire 009A,E01023639,2018,Female,624,10,6,5,13,3,21,16,28,22,28,33,41,48,32,50,54,38,39,44,31,20,2,5,7,4,1,23
North Hertfordshire 009B,E01023640,2018,Female,682,8,11,3,11,13,40,31,35,36,40,39,39,39,30,41,34,27,29,58,42,32,5,6,6,2,3,22
North Hertfordshire 009C,E01023641,2018,Female,696,12,13,10,10,7,69,25,31,35,46,35,48,45,47,46,48,29,29,44,35,20,3,2,2,0,0,5
North Hertfordshire 009D,E01023642,2018,Female,662,6,5,12,5,8,32,38,48,13,17,17,32,59,26,40,44,51,69,66,31,26,4,2,2,0,0,9
North Hertfordshire 009E,E01023643,2018,Female,636,2,1,2,6,8,38,50,33,27,31,40,51,38,55,55,45,32,31,31,30,10,3,0,3,6,4,4
North Hertfordshire 010A,E01023601,2018,Female,1087,16,12,19,8,13,56,38,33,54,152,153,99,71,72,70,62,24,29,22,39,23,3,3,0,4,1,11
North Hertfordshire 010B,E01023602,2018,Female,831,18,11,14,16,12,47,44,32,26,54,95,108,77,47,61,36,44,20,18,17,19,4,2,4,2,2,1
North Hertfordshire 010C,E01023603,2018,Female,808,9,12,10,8,9,64,57,45,25,47,42,60,73,68,65,52,42,26,24,20,23,8,3,2,3,1,10
North Hertfordshire 010D,E01023604,2018,Female,685,11,9,9,4,16,35,45,32,22,31,27,43,51,66,60,43,46,44,28,23,21,1,2,3,4,3,6
North Hertfordshire 010E,E01023605,2018,Female,773,11,8,10,11,8,51,33,27,56,108,97,80,55,47,51,23,23,20,20,15,7,2,3,0,2,2,3
North Hertfordshire 011A,E01023617,2018,Female,792,16,13,9,13,8,54,31,34,24,20,34,52,73,63,49,49,51,36,49,38,36,6,8,9,6,3,8
North Hertfordshire 011B,E01023618,2018,Female,905,16,6,12,14,14,72,52,37,35,66,66,99,66,61,55,53,37,44,36,25,22,4,1,1,1,1,9
North Hertfordshire 011C,E01023619,2018,Female,819,9,6,7,14,14,58,32,28,31,57,96,82,68,60,60,42,40,45,24,28,8,0,1,2,3,0,4
