2011 super output area - lower layer,mnemonic,Date,Gender,All Ages,Age 0,Age 1,Age 2,Age 3,Age 4,Aged 5-9,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Age 85,Age 86,Age 87,Age 88,Age 89,Aged 90+
St Albans 010A,E01023673,2018,Male,690,6,8,6,7,9,84,57,56,27,15,20,35,50,54,70,37,45,34,34,18,15,1,1,0,0,0,1
St Albans 010B,E01023714,2018,Male,875,6,13,14,17,11,58,82,63,28,34,32,23,60,81,79,73,49,48,34,24,28,5,6,1,2,1,3
St Albans 010C,E01023715,2018,Male,781,6,8,7,8,8,63,83,75,29,21,22,44,67,82,66,50,31,30,28,19,22,0,4,2,2,0,4
St Albans 010D,E01023716,2018,Male,1031,23,28,26,15,24,86,67,36,21,48,77,136,94,87,60,52,43,37,35,15,11,4,3,0,1,1,1
St Albans 011A,E01023666,2018,Male,987,15,17,17,10,19,69,49,37,50,72,139,131,86,69,49,37,26,24,14,11,21,2,4,3,6,2,8
St Albans 011B,E01023674,2018,Male,917,21,17,10,18,18,71,62,34,27,70,91,81,99,91,63,53,39,21,11,2,6,4,0,3,1,2,2
St Albans 011C,E01023675,2018,Male,654,3,6,6,7,9,42,61,52,29,11,12,20,48,76,73,50,43,29,27,18,15,3,3,4,2,1,4
St Albans 011D,E01023676,2018,Male,1438,27,22,24,28,20,113,68,51,62,135,170,163,107,130,78,56,47,52,32,18,15,0,1,6,3,0,10
St Albans 012A,E01023726,2018,Male,946,21,30,17,21,15,39,17,7,22,143,124,110,107,63,66,57,30,27,10,9,3,2,2,0,1,1,2
St Albans 012B,E01023727,2018,Male,1184,28,20,12,17,19,48,46,19,67,151,155,119,92,67,106,49,41,40,37,16,22,3,3,1,1,2,3
St Albans 012C,E01023728,2018,Male,1132,23,21,23,30,17,97,50,25,46,87,101,110,108,90,81,54,50,38,29,20,14,3,2,1,3,2,7
St Albans 012D,E01023729,2018,Male,1311,15,18,17,16,12,93,58,48,55,156,214,160,102,72,96,45,47,32,17,15,9,3,3,2,1,2,3
St Albans 013A,E01023664,2018,Male,863,11,11,7,10,10,67,80,54,55,48,36,71,59,81,80,55,36,24,35,20,3,1,1,0,1,1,6
St Albans 013B,E01023665,2018,Male,837,17,11,16,19,12,68,66,57,33,54,61,72,93,65,52,37,32,19,22,17,8,1,2,0,1,0,2
St Albans 013C,E01023667,2018,Male,759,7,7,14,8,18,74,62,33,25,41,59,67,75,60,48,27,39,23,26,17,14,2,1,1,1,1,9
St Albans 013D,E01023668,2018,Male,763,7,5,3,11,8,85,97,63,27,30,27,33,62,75,72,43,39,26,11,9,18,3,3,3,0,2,1
St Albans 014A,E01023742,2018,Male,917,12,17,18,19,18,96,58,53,19,15,23,70,62,56,47,38,55,47,77,40,33,13,3,4,3,5,16
St Albans 014B,E01023743,2018,Male,932,9,12,13,9,11,49,53,45,29,34,59,59,71,63,96,65,52,57,44,43,21,5,4,9,4,6,10
St Albans 014C,E01023744,2018,Male,776,7,5,11,10,7,65,70,41,16,25,13,31,54,61,65,33,50,40,55,51,38,4,5,5,2,0,12
St Albans 014D,E01023745,2018,Male,912,11,11,10,11,10,75,63,44,27,51,49,71,79,80,91,55,52,32,47,18,12,0,1,3,1,1,7
St Albans 015A,E01023677,2018,Male,747,10,14,8,12,9,70,69,75,34,55,28,46,53,69,68,53,29,12,13,6,8,3,0,0,0,2,1
St Albans 015B,E01023678,2018,Male,953,14,9,12,16,16,73,78,45,48,47,57,64,81,89,78,54,49,25,49,17,27,0,0,1,1,0,3
St Albans 015C,E01023679,2018,Male,768,7,7,5,5,7,69,58,54,36,38,30,34,45,74,53,56,47,46,31,34,19,1,1,2,2,1,6
St Albans 015D,E01023680,2018,Male,729,8,3,9,10,17,50,50,66,38,28,29,40,59,62,73,41,33,32,25,30,13,3,2,4,3,0,1
St Albans 016A,E01023681,2018,Male,898,7,14,19,14,14,52,54,69,46,57,75,75,54,74,75,56,32,34,39,16,9,0,5,1,3,2,2
St Albans 016B,E01023682,2018,Male,847,7,11,9,7,10,66,60,37,18,61,80,76,73,67,59,48,26,31,35,25,21,1,3,7,2,3,4
St Albans 016C,E01023683,2018,Male,841,14,23,21,13,21,72,56,50,39,53,41,66,65,60,53,48,45,15,28,15,24,4,5,0,0,1,9
St Albans 016D,E01023684,2018,Male,815,9,6,6,11,6,49,45,26,27,53,54,57,80,51,66,43,48,52,48,31,25,6,2,2,1,0,11
St Albans 017A,E01023737,2018,Male,661,7,11,7,4,5,58,51,37,24,49,56,62,53,57,49,34,13,36,16,8,15,1,4,2,1,0,1
St Albans 017B,E01023738,2018,Male,809,17,15,10,16,14,57,60,48,35,49,62,57,88,68,53,38,29,22,35,16,6,1,1,3,0,3,6
St Albans 017C,E01023739,2018,Male,764,9,16,11,13,8,71,62,43,45,33,48,76,58,49,40,31,27,34,27,23,7,4,2,2,4,3,18
St Albans 017D,E01023740,2018,Male,678,13,10,6,6,7,40,28,28,19,60,71,53,74,62,63,39,40,19,17,10,11,0,0,0,0,0,2
St Albans 017E,E01023741,2018,Male,820,23,15,17,19,12,74,45,24,22,37,59,91,77,68,62,54,35,28,18,21,6,2,1,1,0,0,9
St Albans 018A,E01023704,2018,Male,770,16,16,13,7,7,47,27,25,46,59,53,78,59,69,51,47,48,33,32,24,5,1,1,0,1,1,4
St Albans 018B,E01023705,2018,Male,827,12,13,10,7,9,73,89,50,68,54,48,58,55,59,46,40,43,43,14,19,12,1,1,0,0,0,3
St Albans 018C,E01023706,2018,Male,810,14,11,17,12,14,32,45,36,39,46,39,78,64,52,73,62,40,45,35,16,19,3,6,5,3,1,3
St Albans 018E,E01023708,2018,Male,743,7,5,9,11,6,51,54,38,28,43,47,48,56,76,62,42,40,39,31,22,18,2,1,2,1,1,3
St Albans 018F,E01033028,2018,Male,751,11,7,13,3,8,69,61,50,39,39,48,63,42,59,56,54,30,36,28,9,17,3,2,1,0,0,3
St Albans 018G,E01033029,2018,Male,880,15,12,12,7,6,67,92,76,41,42,54,59,63,75,65,59,43,31,31,16,9,1,1,0,1,1,1
St Albans 019A,E01023718,2018,Male,866,8,4,9,8,7,48,59,61,28,34,38,27,61,58,61,60,58,65,47,47,32,5,7,10,8,6,10
St Albans 019B,E01023719,2018,Male,581,5,12,13,13,4,27,35,36,26,22,28,43,43,44,55,32,28,23,29,36,16,0,4,0,2,1,4
St Albans 019C,E01023720,2018,Male,1052,24,16,14,20,20,79,65,41,40,81,62,91,78,74,78,75,47,33,53,27,16,4,2,3,1,4,4
St Albans 019D,E01023721,2018,Male,678,3,13,5,6,6,38,42,37,29,25,23,35,41,43,60,59,49,45,49,30,32,2,1,0,1,0,4
St Albans 020A,E01023717,2018,Male,635,12,14,7,18,7,43,30,46,40,35,42,31,30,51,46,58,27,30,30,18,16,0,1,0,0,0,3
St Albans 020B,E01023730,2018,Male,842,7,4,10,12,9,55,68,49,31,42,28,33,50,72,66,64,35,51,67,33,35,6,4,1,2,2,6
St Albans 020C,E01023731,2018,Male,739,9,11,10,13,11,57,48,37,36,27,26,33,59,71,44,49,47,41,46,23,18,10,4,3,1,2,3
St Albans 020D,E01023732,2018,Male,840,8,1,8,12,13,42,42,47,28,48,29,47,48,54,78,62,50,42,54,45,29,6,7,10,5,3,22
St Albans 020E,E01023733,2018,Male,766,4,4,5,8,4,37,43,49,35,28,21,22,43,41,50,83,52,65,69,42,32,5,3,2,6,3,10
Watford 001A,E01023904,2018,Male,983,8,9,22,12,17,78,79,58,57,49,59,84,60,59,79,77,52,46,30,25,11,2,6,0,1,1,2
Watford 001B,E01023905,2018,Male,1014,16,9,13,11,15,88,73,56,59,52,58,71,94,82,68,70,45,34,38,26,15,2,2,8,2,2,5
Watford 001C,E01023906,2018,Male,741,14,13,9,11,9,50,51,51,33,44,38,69,47,62,63,32,38,28,30,28,14,0,1,4,0,0,2
Watford 001D,E01023907,2018,Male,854,10,24,12,15,10,69,43,53,29,56,72,58,58,71,46,69,41,32,26,20,25,2,6,2,2,0,3
Watford 002A,E01023890,2018,Male,618,7,5,8,9,8,34,38,57,19,22,46,45,60,50,46,47,41,35,10,12,12,1,0,1,1,0,4
Watford 002B,E01023891,2018,Male,709,7,9,7,14,12,64,74,54,61,38,29,55,44,35,59,36,33,17,23,13,12,3,5,2,2,0,1
Watford 002C,E01023892,2018,Male,609,4,7,6,11,11,52,52,50,41,30,53,36,27,48,48,37,27,23,20,9,11,2,1,1,1,0,1
Watford 002D,E01023893,2018,Male,842,7,6,7,13,7,53,46,44,41,35,44,54,58,62,58,52,56,53,44,31,41,6,7,6,6,1,4
Watford 002E,E01023894,2018,Male,686,14,4,17,8,8,46,51,39,31,37,46,39,46,48,44,54,42,32,27,24,17,1,0,1,0,0,10
Watford 003A,E01023873,2018,Male,632,7,13,14,11,12,60,49,34,29,36,33,44,54,34,49,30,34,16,30,16,7,8,3,3,2,3,1
Watford 003B,E01023874,2018,Male,622,11,11,10,9,7,50,49,38,25,23,55,30,37,35,46,37,40,27,30,19,19,2,2,3,2,4,1
Watford 003C,E01023875,2018,Male,1030,17,12,16,13,16,75,52,49,32,64,69,91,87,78,57,48,63,55,48,45,20,5,2,5,3,1,7
Watford 003D,E01023876,2018,Male,916,18,30,21,20,27,89,71,68,36,45,81,63,73,61,37,61,40,26,23,6,8,2,3,1,1,2,3
Watford 003E,E01023877,2018,Male,774,8,9,9,7,6,51,67,59,56,57,28,66,61,63,39,45,31,30,25,23,18,1,3,3,2,2,5
Watford 004A,E01023868,2018,Male,860,11,13,14,10,12,67,79,67,53,40,59,55,62,58,57,60,29,18,41,19,20,2,5,5,1,0,3
Watford 004B,E01023869,2018,Male,686,9,9,9,8,8,64,44,64,41,33,61,56,48,44,61,48,25,17,16,13,5,0,0,0,1,1,1
Watford 004C,E01023870,2018,Male,753,6,4,7,5,7,74,73,89,47,60,44,48,40,52,60,35,20,30,17,9,22,1,0,1,1,0,1
Watford 004D,E01023871,2018,Male,773,16,22,14,12,22,70,57,43,39,45,73,86,71,52,38,36,24,17,8,8,9,1,0,3,2,1,4
Watford 004E,E01023872,2018,Male,843,8,6,13,13,17,59,63,40,31,62,53,87,58,51,62,48,60,42,28,21,11,3,2,1,2,1,1
Watford 005A,E01023895,2018,Male,874,13,17,11,17,11,43,42,36,56,78,84,113,95,47,43,53,40,20,26,14,12,1,1,0,0,0,1
Watford 005B,E01023896,2018,Male,598,5,4,10,7,2,39,41,34,23,32,40,55,38,28,47,44,44,36,25,22,8,3,3,0,3,3,2
Watford 005C,E01023897,2018,Male,737,6,6,6,8,6,49,51,41,33,25,21,43,44,45,53,62,42,60,43,43,27,2,3,3,6,3,6
Watford 005D,E01023898,2018,Male,760,5,4,7,4,11,56,51,51,44,25,41,47,50,81,43,43,69,43,25,18,23,4,5,4,1,0,5
Watford 006A,E01023855,2018,Male,1017,25,17,14,19,22,82,44,37,46,105,132,104,88,69,68,51,29,24,19,15,3,0,1,0,2,0,1
Watford 006B,E01023856,2018,Male,1249,37,26,23,26,24,90,67,58,58,97,138,129,98,91,85,67,37,27,34,11,12,2,5,2,0,1,4
Watford 006C,E01023857,2018,Male,851,12,15,6,12,15,58,77,68,70,49,60,63,58,63,64,36,44,27,16,18,13,3,0,1,0,0,3
Watford 006D,E01023858,2018,Male,942,24,17,14,15,19,74,53,31,51,76,96,107,92,59,68,54,33,23,10,13,8,1,0,1,1,0,2
Watford 007A,E01023878,2018,Male,991,11,17,17,16,11,65,58,45,35,46,51,57,70,65,61,68,73,41,72,38,27,8,10,3,3,2,21
Watford 007B,E01023879,2018,Male,1523,40,20,34,26,26,148,99,56,51,120,103,190,163,105,83,72,33,37,37,27,26,1,2,6,5,3,10
Watford 007C,E01023880,2018,Male,972,17,13,10,8,9,51,37,29,80,95,111,99,53,76,63,53,41,37,37,19,13,2,3,4,2,1,9
Watford 007D,E01023881,2018,Male,761,12,9,7,12,17,58,52,54,33,50,26,49,59,56,45,42,43,41,39,31,21,0,0,1,0,0,4
Watford 008A,E01023886,2018,Male,1546,18,4,15,18,15,127,165,94,63,128,144,126,133,110,131,78,55,40,40,11,16,5,1,2,2,1,4
Watford 008B,E01023887,2018,Male,831,8,11,6,9,9,46,54,75,42,25,33,35,52,62,77,54,60,47,36,34,20,4,7,7,4,5,9
Watford 008C,E01023888,2018,Male,878,8,5,7,24,11,57,62,52,52,44,45,55,79,73,65,61,33,42,35,25,26,4,0,4,2,2,5
